source,msbf,age,d18O_raw,fullsp,d18O_species,d18O,origin,ref,notes
DSDP463,195.71,75.56644817,0.07,Nuttallides truempyi,0.19,0.49,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,196.71,75.71908509,0.23,Nuttallides truempyi,0.37,0.67,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,199.71,76.18979086,-0.14,Nuttallides truempyi,-0.04,0.26,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,200.52,76.31688142,0.06,Nuttallides truempyi,0.18,0.48,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,202.27,76.6221839,0.12,Nuttallides truempyi,0.25,0.55,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,203.52,76.84111682,-0.02,Nuttallides truempyi,0.09,0.39,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,205.29,77.15892983,0.1,Nuttallides truempyi,0.22,0.52,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,205.99,77.29072744,0.08,Nuttallides truempyi,0.2,0.5,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,207.37,77.55055703,0.02,Nuttallides truempyi,0.13,0.43,"Li & Keller, 1999","Li & Keller, 1999","In Friedrich et al., 2012"
DSDP463,214.96,79.06632426,0.29,Praebulimina,0.01,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,215.46,79.16949265,0.29,Praebulimina,0.01,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,216.45,79.39149652,-0.08,Praebulimina,-0.36,-0.06,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,216.93,79.5010426,0.18,Praebulimina,-0.1,0.2,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,217.37,79.60145983,0.18,Praebulimina,-0.1,0.2,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,217.99,79.74295684,-0.06,Praebulimina,-0.34,-0.04,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,220.49,84.13567782,-0.34,Praebulimina,-0.62,-0.32,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,221.07,85.27482067,-0.56,Praebulimina,-0.84,-0.54,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,221.37,85.86403249,-0.69,Praebulimina,-0.97,-0.67,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,222.99,86.78775158,-0.81,Praebulimina,-1.09,-0.79,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,224.99,87.05341875,-0.45,Praebulimina,-0.73,-0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,253.49,89.91724836,-0.8,Praebulimina,-1.08,-0.78,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,254.69,89.98809293,-1.72,Praebulimina,-2,-1.7,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,282.01,91.25767859,-1.54,Praebulimina,-1.82,-1.52,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,283.39,91.31578452,-1.35,Praebulimina,-1.63,-1.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,283.8,91.33304787,-1.39,Praebulimina,-1.67,-1.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,290.99,91.67945189,-1.07,Praebulimina,-1.35,-1.05,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,291.49,91.7045272,-1.32,Praebulimina,-1.6,-1.3,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,291.99,91.72960251,-1.27,Praebulimina,-1.55,-1.25,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,292.99,91.77975313,-1.07,Praebulimina,-1.35,-1.05,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,293.84,91.82238115,-1.16,Praebulimina,-1.44,-1.14,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP463,294.19,91.83993387,-0.86,Praebulimina,-1.14,-0.84,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
ODP 1210B,218.87,66.27,0.75,Nuttallides truempyi,0.96,0.96,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,219.45,66.29,0.24,Nuttallides truempyi,0.38,0.38,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,219.65,66.3,0.08,Nuttallides truempyi,0.2,0.2,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,220.55,66.33,0.69,Nuttallides truempyi,0.89,0.89,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,221.15,66.36,0.57,Nuttallides truempyi,0.75,0.75,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,221.85,66.438,0.56,Nuttallides truempyi,0.74,0.74,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,222.65,66.548,0.53,Nuttallides truempyi,0.71,0.71,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,223.35,66.638,0.88,Nuttallides truempyi,1.1,1.1,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,223.55,66.668,0.75,Nuttallides truempyi,0.96,0.96,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,223.95,66.718,0.82,Nuttallides truempyi,1.03,1.03,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,224.15,66.748,0.76,Nuttallides truempyi,0.97,0.97,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,224.85,66.838,0.69,Nuttallides truempyi,0.89,0.89,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,225.77,66.958,0.75,Nuttallides truempyi,0.96,0.96,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,226.35,67.038,0.77,Nuttallides truempyi,0.98,0.98,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,226.55,67.058,0.45,Nuttallides truempyi,0.62,0.62,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,227.15,67.138,0.67,Nuttallides truempyi,0.87,0.87,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,227.85,67.218,0.78,Nuttallides truempyi,0.99,0.99,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,228.35,67.288,1.11,Nuttallides truempyi,1.36,1.36,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,229.15,67.388,0.89,Nuttallides truempyi,1.11,1.11,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,229.85,67.478,1.05,Nuttallides truempyi,1.29,1.29,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,230.65,67.578,0.68,Nuttallides truempyi,0.88,0.88,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,231.35,67.658,0.66,Nuttallides truempyi,0.85,0.85,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,232.15,67.758,0.75,Nuttallides truempyi,0.96,0.96,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,232.85,67.868,0.65,Nuttallides truempyi,0.84,0.84,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,233.65,68.038,0.72,Nuttallides truempyi,0.92,0.92,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,234.35,68.188,0.7,Nuttallides truempyi,0.9,0.9,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,235.15,68.246,0.53,Nuttallides truempyi,0.71,0.71,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,235.85,68.369,0.77,Nuttallides truempyi,0.98,0.98,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,236.65,68.399,0.98,Nuttallides truempyi,1.21,1.21,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,237.27,68.429,0.42,Nuttallides truempyi,0.58,0.58,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,238.05,68.459,0.74,Nuttallides truempyi,0.94,0.94,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,238.65,68.489,0.49,Nuttallides truempyi,0.66,0.66,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,239.35,68.519,0.57,Nuttallides truempyi,0.75,0.75,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,240.15,68.559,0.62,Nuttallides truempyi,0.81,0.81,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,240.27,68.559,0.22,Nuttallides truempyi,0.36,0.36,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,240.65,68.579,0.42,Nuttallides truempyi,0.58,0.58,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,241.05,68.599,0.56,Nuttallides truempyi,0.74,0.74,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,241.77,68.629,0.44,Nuttallides truempyi,0.61,0.61,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,242.55,68.669,0.24,Nuttallides truempyi,0.38,0.38,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,243.22,68.709,0.19,Nuttallides truempyi,0.33,0.33,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,243.45,68.719,0.3,Nuttallides truempyi,0.45,0.45,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,244.05,68.749,0.31,Nuttallides truempyi,0.46,0.46,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,244.72,68.789,0.3,Nuttallides truempyi,0.45,0.45,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,245.55,68.829,0.44,Nuttallides truempyi,0.61,0.61,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,246.22,68.859,0.47,Nuttallides truempyi,0.64,0.64,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,246.72,68.899,0.61,Nuttallides truempyi,0.8,0.8,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,247.55,68.929,0.61,Nuttallides truempyi,0.8,0.8,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,248.15,68.949,0.76,Nuttallides truempyi,0.97,0.97,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,249.05,68.989,0.46,Nuttallides truempyi,0.63,0.63,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,249.72,69.009,0.57,Nuttallides truempyi,0.75,0.75,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,250.55,69.039,0.46,Nuttallides truempyi,0.63,0.63,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,251.22,69.069,0.55,Nuttallides truempyi,0.73,0.73,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,252.05,69.099,0.55,Nuttallides truempyi,0.73,0.73,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,252.73,69.129,0.58,Nuttallides truempyi,0.76,0.76,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,253.55,69.159,0.49,Nuttallides truempyi,0.66,0.66,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,254.15,69.189,0.55,Nuttallides truempyi,0.73,0.73,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,254.23,69.189,0.55,Nuttallides truempyi,0.73,0.73,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,255.07,69.219,0.51,Nuttallides truempyi,0.69,0.69,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,255.73,69.249,0.48,Nuttallides truempyi,0.65,0.65,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,256.23,69.269,0.61,Nuttallides truempyi,0.8,0.8,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,257.05,69.269,0.74,Nuttallides truempyi,0.94,0.94,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,257.73,69.319,0.72,Nuttallides truempyi,0.92,0.92,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,258.55,69.379,0.63,Nuttallides truempyi,0.82,0.82,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,259.23,69.439,0.66,Nuttallides truempyi,0.85,0.85,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,260.05,69.499,0.57,Nuttallides truempyi,0.75,0.75,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,260.45,69.529,1.01,Nuttallides truempyi,1.25,1.25,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,260.73,69.549,1.01,Nuttallides truempyi,1.25,1.25,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,260.95,69.569,1.05,Nuttallides truempyi,1.29,1.29,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,261.15,69.579,0.71,Nuttallides truempyi,0.91,0.91,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,261.35,69.599,0.73,Nuttallides truempyi,0.93,0.93,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,261.55,69.619,0.83,Nuttallides truempyi,1.04,1.04,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,261.67,69.619,0.7,Nuttallides truempyi,0.9,0.9,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,261.95,69.649,1.16,Nuttallides truempyi,1.42,1.42,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,262.15,69.659,0.72,Nuttallides truempyi,0.92,0.92,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,262.22,69.669,0.92,Nuttallides truempyi,1.15,1.15,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,262.63,69.699,0.71,Nuttallides truempyi,0.91,0.91,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,262.85,69.719,1.1,Nuttallides truempyi,1.35,1.35,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,263.07,69.729,1.13,Nuttallides truempyi,1.38,1.38,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,263.27,69.749,0.74,Nuttallides truempyi,0.94,0.94,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,263.42,69.759,0.93,Nuttallides truempyi,1.16,1.16,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,263.65,69.779,1.14,Nuttallides truempyi,1.39,1.39,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,263.95,69.799,0.87,Nuttallides truempyi,1.09,1.09,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,264.12,69.809,0.83,Nuttallides truempyi,1.04,1.04,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,264.33,69.829,0.8,Nuttallides truempyi,1.01,1.01,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,264.63,69.849,0.78,Nuttallides truempyi,0.99,0.99,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,264.85,69.869,0.93,Nuttallides truempyi,1.16,1.16,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,265.05,69.879,0.71,Nuttallides truempyi,0.91,0.91,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,265.25,69.899,0.8,Nuttallides truempyi,1.01,1.01,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,265.73,69.939,1.14,Nuttallides truempyi,1.39,1.39,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,265.95,69.949,0.81,Nuttallides truempyi,1.02,1.02,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,266.15,69.969,1.24,Nuttallides truempyi,1.51,1.51,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,266.35,69.979,0.8,Nuttallides truempyi,1.01,1.01,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,266.55,69.999,0.93,Nuttallides truempyi,1.16,1.16,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,266.77,70.019,0.89,Nuttallides truempyi,1.11,1.11,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,266.95,70.029,0.85,Nuttallides truempyi,1.07,1.07,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,267.15,70.049,1.02,Nuttallides truempyi,1.26,1.26,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,267.23,70.049,0.76,Nuttallides truempyi,0.97,0.97,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,267.45,70.069,0.78,Nuttallides truempyi,0.99,0.99,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,267.65,70.079,0.87,Nuttallides truempyi,1.09,1.09,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,267.85,70.099,0.66,Nuttallides truempyi,0.85,0.85,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,268.05,70.109,1.13,Nuttallides truempyi,1.38,1.38,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,268.27,70.129,0.49,Nuttallides truempyi,0.66,0.66,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,268.45,70.149,0.74,Nuttallides truempyi,0.94,0.94,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,269.95,70.289,0.91,Nuttallides truempyi,1.13,1.13,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,270.35,70.329,1.22,Nuttallides truempyi,1.48,1.48,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,270.75,70.379,0.86,Nuttallides truempyi,1.08,1.08,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,270.95,70.399,0.82,Nuttallides truempyi,1.03,1.03,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,271.15,70.419,0.85,Nuttallides truempyi,1.07,1.07,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,271.35,70.439,1.27,Nuttallides truempyi,1.54,1.54,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,271.45,70.449,0.78,Nuttallides truempyi,0.99,0.99,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,271.65,70.469,1.06,Nuttallides truempyi,1.3,1.3,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,271.85,70.489,1.07,Nuttallides truempyi,1.31,1.31,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,272.05,70.509,0.82,Nuttallides truempyi,1.03,1.03,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,272.25,70.529,1.19,Nuttallides truempyi,1.45,1.45,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,272.45,70.549,0.95,Nuttallides truempyi,1.18,1.18,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,272.85,70.589,1.05,Nuttallides truempyi,1.29,1.29,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,272.95,70.599,1.1,Nuttallides truempyi,1.35,1.35,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,273.15,70.619,0.93,Nuttallides truempyi,1.16,1.16,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,273.35,70.639,0.82,Nuttallides truempyi,1.03,1.03,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,273.55,70.659,0.92,Nuttallides truempyi,1.15,1.15,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,273.75,70.679,0.87,Nuttallides truempyi,1.09,1.09,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,273.95,70.699,1.03,Nuttallides truempyi,1.27,1.27,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,274.45,70.749,0.79,Nuttallides truempyi,1,1,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,275.25,70.829,0.68,Nuttallides truempyi,0.88,0.88,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,275.95,70.899,0.75,Nuttallides truempyi,0.96,0.96,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,276.17,70.919,0.71,Nuttallides truempyi,0.91,0.91,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,276.75,70.979,0.83,Nuttallides truempyi,1.04,1.04,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,276.95,70.999,0.72,Nuttallides truempyi,0.92,0.92,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,277.45,71.049,0.71,Nuttallides truempyi,0.91,0.91,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,278.25,71.129,0.67,Nuttallides truempyi,0.87,0.87,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,278.93,71.189,0.69,Nuttallides truempyi,0.89,0.89,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,279.76,71.279,0.61,Nuttallides truempyi,0.8,0.8,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,280.2,71.319,0.67,Nuttallides truempyi,0.87,0.87,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,281.02,71.399,0.68,Nuttallides truempyi,0.88,0.88,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,281.72,71.469,0.63,Nuttallides truempyi,0.82,0.82,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,282.1,71.449,0.61,Nuttallides truempyi,0.8,0.8,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,282.52,71.489,0.63,Nuttallides truempyi,0.82,0.82,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,283.22,71.559,0.64,Nuttallides truempyi,0.83,0.83,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,284.02,71.639,0.67,Nuttallides truempyi,0.87,0.87,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,284.22,71.659,0.64,Nuttallides truempyi,0.83,0.83,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,284.72,71.699,0.89,Nuttallides truempyi,1.11,1.11,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,285.52,71.749,0.55,Nuttallides truempyi,0.73,0.73,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,285.72,71.769,1,Nuttallides truempyi,1.24,1.24,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,285.89,71.789,0.88,Nuttallides truempyi,1.1,1.1,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,286.12,71.809,0.7,Nuttallides truempyi,0.9,0.9,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,286.22,71.819,0.65,Nuttallides truempyi,0.84,0.84,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,286.39,71.839,0.82,Nuttallides truempyi,1.03,1.03,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,286.62,71.859,0.74,Nuttallides truempyi,0.94,0.94,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,286.82,71.879,0.7,Nuttallides truempyi,0.9,0.9,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,287.02,71.899,0.92,Nuttallides truempyi,1.15,1.15,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,288.62,72.109,0.82,Nuttallides truempyi,1.03,1.03,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,288.85,72.139,0.8,Nuttallides truempyi,1.01,1.01,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,289.05,72.169,0.49,Nuttallides truempyi,0.66,0.66,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,289.25,72.199,0.78,Nuttallides truempyi,0.99,0.99,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,289.45,72.229,0.51,Nuttallides truempyi,0.69,0.69,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,289.61,72.249,0.31,Nuttallides truempyi,0.46,0.46,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,289.85,72.279,0.4,Nuttallides truempyi,0.56,0.56,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,289.95,72.299,0.42,Nuttallides truempyi,0.58,0.58,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,290.15,72.319,0.36,Nuttallides truempyi,0.52,0.52,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,290.35,72.349,0.45,Nuttallides truempyi,0.62,0.62,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,290.55,72.379,0.48,Nuttallides truempyi,0.65,0.65,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,290.75,72.409,0.41,Nuttallides truempyi,0.57,0.57,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,290.95,72.439,0.35,Nuttallides truempyi,0.51,0.51,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,291.17,72.469,0.41,Nuttallides truempyi,0.57,0.57,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,291.35,72.489,0.35,Nuttallides truempyi,0.51,0.51,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,291.45,72.509,0.48,Nuttallides truempyi,0.65,0.65,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,291.64,72.529,0.36,Nuttallides truempyi,0.52,0.52,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,291.85,72.559,0.44,Nuttallides truempyi,0.61,0.61,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,292.05,72.589,0.34,Nuttallides truempyi,0.49,0.49,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,292.25,72.619,0.27,Nuttallides truempyi,0.42,0.42,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,292.45,72.649,0.36,Nuttallides truempyi,0.52,0.52,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,292.67,72.669,0.38,Nuttallides truempyi,0.54,0.54,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,292.85,72.699,0.36,Nuttallides truempyi,0.52,0.52,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,292.95,72.709,0.35,Nuttallides truempyi,0.51,0.51,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,293.12,72.739,0.53,Nuttallides truempyi,0.71,0.71,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,293.35,72.769,0.34,Nuttallides truempyi,0.49,0.49,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,293.55,72.799,0.55,Nuttallides truempyi,0.73,0.73,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,293.75,72.829,0.5,Nuttallides truempyi,0.67,0.67,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,293.95,72.849,0.46,Nuttallides truempyi,0.63,0.63,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,294.12,72.879,0.34,Nuttallides truempyi,0.49,0.49,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,294.35,72.909,0.35,Nuttallides truempyi,0.51,0.51,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,294.45,72.919,0.41,Nuttallides truempyi,0.57,0.57,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,294.62,72.949,0.47,Nuttallides truempyi,0.64,0.64,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,294.85,72.979,0.53,Nuttallides truempyi,0.71,0.71,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,295.05,73.009,0.33,Nuttallides truempyi,0.48,0.48,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,295.25,73.039,0.27,Nuttallides truempyi,0.42,0.42,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,295.45,73.059,0.23,Nuttallides truempyi,0.37,0.37,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,295.62,73.089,0.61,Nuttallides truempyi,0.8,0.8,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,295.85,73.119,0.4,Nuttallides truempyi,0.56,0.56,"Jung et al., 2013","Jung et al., 2013",
ODP 1210B,295.95,73.129,0.69,Nuttallides truempyi,0.89,0.89,"Jung et al., 2013","Jung et al., 2013",
